Date,SGOV,SHV,SHY,BIL,IEI,IEF,VGIT,TLT,TLH,EDV,AGG,BND
2020-06-01,86.71978759765625,96.17195129394531,77.25132751464844,79.55795288085938,120.26014709472656,107.76675415039062,61.42561721801758,139.73422241210938,140.8623504638672,134.40289306640625,101.34428405761719,75.24098205566406
2020-06-02,86.72236633300781,96.17195129394531,77.25132751464844,79.55795288085938,120.17903900146484,107.58975982666016,61.382022857666016,139.22621154785156,140.52374267578125,133.62371826171875,101.4306411743164,75.3010482788086
2020-06-03,86.7240982055664,96.16326141357422,77.18885040283203,79.55795288085938,119.89078521728516,106.95259857177734,61.181610107421875,137.37489318847656,138.97454833984375,131.46665954589844,101.18023681640625,75.12944793701172
2020-06-04,86.7240982055664,96.15457916259766,77.20667266845703,79.55795288085938,119.7105941772461,106.52775573730469,61.05961227416992,135.3858642578125,137.64547729492188,128.8092498779297,100.8780517578125,74.94921112060547
2020-06-05,86.71978759765625,96.15457916259766,77.17991638183594,79.54056549072266,119.42223358154297,105.99676513671875,60.87663650512695,134.42141723632812,136.7397918701172,127.69379425048828,100.93843841552734,74.94065856933594
2020-06-08,86.71978759765625,96.15457916259766,77.16205596923828,79.5492172241211,119.48528289794922,106.11180114746094,60.911476135253906,134.9380645751953,136.90902709960938,128.26797485351562,101.05070495605469,75.01786804199219
2020-06-09,86.71978759765625,96.15457916259766,77.18885040283203,79.5492172241211,119.72853088378906,106.49236297607422,61.05092239379883,136.4707794189453,138.02647399902344,130.27734375,101.18023681640625,75.0693588256836
2020-06-10,86.7240982055664,96.15457916259766,77.23343658447266,79.55795288085938,120.17008972167969,107.28887939453125,61.32973098754883,138.49429321289062,139.61793518066406,132.8609619140625,101.59467315673828,75.38687133789062
2020-06-11,86.7240982055664,96.17195129394531,77.19776916503906,79.54056549072266,120.2060775756836,107.66943359375,61.373329162597656,141.11187744140625,141.28558349609375,136.11705017089844,101.42198944091797,75.24957275390625
2020-06-12,86.7240982055664,96.17195129394531,77.22450256347656,79.55795288085938,120.14305877685547,107.43048095703125,61.32973098754883,139.75146484375,140.4729461669922,134.50949096679688,101.52561950683594,75.32678985595703
2020-06-15,86.7240982055664,96.15457916259766,77.20667266845703,79.55795288085938,120.09795379638672,107.34200286865234,61.31231689453125,139.82896423339844,140.48141479492188,134.8785858154297,101.86236572265625,75.48126983642578
2020-06-16,86.7240982055664,96.15457916259766,77.19776916503906,79.55795288085938,120.04391479492188,107.1207275390625,61.260040283203125,137.68484497070312,139.2285614013672,131.95053100585938,101.66375732421875,75.38687133789062
2020-06-17,86.72843933105469,96.15457916259766,77.22450256347656,79.55795288085938,120.07994079589844,107.28887939453125,61.286197662353516,138.25323486328125,139.6094207763672,132.5000457763672,101.57737731933594,75.4040298461914
2020-06-18,86.73190307617188,96.16326141357422,77.21563720703125,79.5492172241211,120.13399505615234,107.52780151367188,61.3471794128418,139.71702575683594,140.55751037597656,134.36184692382812,101.68106079101562,75.4898452758789
2020-06-19,86.73278045654297,96.16326141357422,77.23343658447266,79.5492172241211,120.17008972167969,107.563232421875,61.36460494995117,139.82896423339844,140.6845245361328,134.31265258789062,101.71559143066406,75.51558685302734
2020-06-22,86.72843933105469,96.16326141357422,77.21563720703125,79.5492172241211,120.11598205566406,107.46587371826172,61.33846664428711,139.8461456298828,140.62533569335938,134.59970092773438,101.68968963623047,75.4898452758789
2020-06-23,86.72843933105469,96.17195129394531,77.23343658447266,79.5492172241211,120.16100311279297,107.43048095703125,61.321041107177734,138.89044189453125,140.142822265625,133.44326782226562,101.67240905761719,75.45551300048828
2020-06-24,86.72843933105469,96.16326141357422,77.24235534667969,79.5492172241211,120.2240982055664,107.63400268554688,61.39944076538086,140.38006591796875,141.14169311523438,135.22303771972656,101.65511322021484,75.46409606933594
2020-06-25,86.72843933105469,96.16326141357422,77.24235534667969,79.55795288085938,120.24210357666016,107.65172576904297,61.39944076538086,140.78466796875,141.31100463867188,135.82179260253906,101.77601623535156,75.54133605957031
2020-06-26,86.7240982055664,96.17195129394531,77.2691421508789,79.5492172241211,120.39527893066406,107.94377136230469,61.486572265625,142.29159545898438,142.30145263671875,137.84765625,101.89689636230469,75.67860412597656
2020-06-29,86.73278045654297,96.16326141357422,77.28697967529297,79.5492172241211,120.4763412475586,108.0499496459961,61.547630310058594,141.84384155273438,142.16598510742188,137.21609497070312,101.98323059082031,75.7301025390625
2020-06-30,86.73278045654297,96.18061065673828,77.27806854248047,79.5492172241211,120.4312973022461,107.85527801513672,61.495330810546875,141.15496826171875,141.6665496826172,136.17446899414062,102.06961059570312,75.80735778808594
2020-07-01,86.72927856445312,96.16326141357422,77.25218200683594,79.5492172241211,120.31771087646484,107.68697357177734,61.439491271972656,140.88084411621094,141.44622802734375,136.08213806152344,102.12408447265625,75.82630920410156
2020-07-02,86.7345199584961,96.16326141357422,77.28788757324219,79.55795288085938,120.42594146728516,107.81986236572266,61.51803207397461,141.02743530273438,141.5563507080078,136.10687255859375,102.24519348144531,75.94664001464844
2020-07-06,86.72927856445312,96.17195129394531,77.26109313964844,79.5492172241211,120.33576965332031,107.66038513183594,61.439491271972656,140.44979858398438,141.14956665039062,135.4311065673828,102.23653411865234,75.92082214355469
2020-07-07,86.72927856445312,96.17195129394531,77.2789535522461,79.5492172241211,120.46199798583984,108.00585174560547,61.544193267822266,142.42401123046875,142.43771362304688,137.87051391601562,102.39228057861328,76.04119873046875
