Date,SPY,VOO,IVV,VTI,XLG,QQQ,VUG,IWF,IWM,VEA,VXUS,VWO,IEMG,IEFA,IJH,VO,IJR,VTV,VIG,SCHD,RSP,XLK,XLE,XLF,VGT
2015-09-23,163.59466552734375,149.72366333007812,164.27476501464844,84.96275329589844,11.694808006286621,96.83901977539062,93.80411529541016,86.83018493652344,99.24858856201172,26.377031326293945,32.79753112792969,24.82685089111328,30.309356689453125,39.25736618041992,23.953208923339844,101.96925354003906,46.86198043823242,59.93551254272461,60.97162628173828,8.647130966186523,62.874717712402344,35.55369567871094,41.62188720703125,15.274540901184082,91.96479797363281
2015-09-24,163.00315856933594,149.25953674316406,163.68736267089844,84.65895080566406,11.687836647033691,96.48578643798828,93.41913604736328,86.38432312011719,99.08232116699219,26.288211822509766,32.70120620727539,24.782068252563477,30.18708038330078,39.14543533325195,23.841901779174805,101.49685668945312,46.81050491333008,59.78760528564453,60.84756088256836,8.644713401794434,62.63759994506836,35.55369567871094,41.80320739746094,15.166598320007324,91.87391662597656
2015-09-25,162.9608612060547,149.15829467773438,163.57933044433594,84.48762512207031,11.653834342956543,95.66777038574219,93.00665283203125,85.9360580444336,97.77825164794922,26.530550003051758,32.920169830322266,24.736656188964844,30.164152145385742,39.48122024536133,23.80048179626465,101.41095733642578,46.76229476928711,59.927730560302734,60.98818588256836,8.668899536132812,62.679962158203125,35.49129104614258,41.883785247802734,15.389235496520996,91.65577697753906
2015-09-28,158.8710174560547,145.40310668945312,159.4951171875,82.22296905517578,11.3887939453125,92.9442138671875,90.19271850585938,83.53500366210938,95.04024505615234,26.017637252807617,32.220062255859375,24.184268951416016,29.461063385009766,38.73503494262695,23.200565338134766,98.30172729492188,45.50556564331055,58.573158264160156,59.91271209716797,8.531031608581543,60.94377136230469,34.68000793457031,40.2116584777832,15.031661033630371,89.49253845214844
2015-09-29,158.96395874023438,145.4791259765625,159.5204315185547,82.20600891113281,11.394024848937988,92.46085357666016,89.95441436767578,83.36154174804688,94.36450958251953,25.965593338012695,32.287086486816406,24.381013870239258,29.6750545501709,38.66786575317383,23.178220748901367,98.11279296875,45.303253173828125,58.78334426879883,60.11954116821289,8.56247329711914,60.994564056396484,34.5284423828125,40.15121841430664,15.0586519241333,89.02897644042969
2015-09-30,161.9300079345703,148.27224731445312,162.6173553466797,83.73272705078125,11.579727172851562,94.58952331542969,91.92509460449219,84.90441131591797,95.83006286621094,26.49338722229004,33.009544372558594,25.03934097290039,30.48513412475586,39.4066047668457,23.48247718811035,100.20850372314453,45.867069244384766,59.74869155883789,61.00474166870117,8.69550895690918,62.29883575439453,35.21492385864258,41.09809494018555,15.28803825378418,90.89229583740234
2015-10-01,162.35250854492188,148.6857147216797,163.06459045410156,83.9023666381836,11.612857818603516,95.01708984375,92.31005859375,85.30611419677734,95.663330078125,26.567716598510742,33.084014892578125,25.122583389282227,30.676179885864258,39.5260009765625,23.430898666381836,100.29437255859375,45.69061279296875,59.81871795654297,60.98818588256836,8.683412551879883,62.16332244873047,35.23275375366211,41.17866897583008,15.29478931427002,90.9377212524414
2015-10-02,164.77767944335938,150.83755493164062,165.45272827148438,85.12374877929688,11.761940956115723,96.68096923828125,93.7582778930664,86.53858947753906,97.08497619628906,27.006301879882812,33.74689865112305,25.780916213989258,31.3792781829834,40.18265151977539,23.767812728881836,101.8747787475586,46.207088470458984,60.59722900390625,61.823753356933594,8.826118469238281,63.19657516479492,35.73200225830078,42.87765884399414,15.315024375915527,92.31927490234375
2015-10-05,167.7098846435547,153.5463104248047,168.44833374023438,86.69287872314453,11.976414680480957,98.06599426269531,95.18817138671875,87.88976287841797,99.4017562866211,27.54895782470703,34.43955993652344,26.295467376708984,32.03651428222656,40.95869445800781,24.228492736816406,103.61835479736328,47.44231033325195,61.86616134643555,62.95716857910156,8.995434761047363,64.49234771728516,36.436283111572266,44.173728942871094,15.638867378234863,94.15531921386719
2015-10-06,167.1352996826172,153.03155517578125,167.81539916992188,86.41299438476562,11.938051223754883,97.60121154785156,94.56489562988281,87.14112854003906,98.71723937988281,27.578685760498047,34.43210983276367,26.227373123168945,31.967729568481445,41.03330993652344,24.140827178955078,102.9655990600586,47.21851348876953,61.764930725097656,62.675872802734375,9.017203330993652,64.3060302734375,36.480865478515625,45.15416717529297,15.564654350280762,94.37344360351562
